,order_number,reference,quantity,ship_out_date,arrival_date
314,WCI124221,R308404,414,,16.05.2022
315,WCI124221,R308404,0,,23.05.2022
316,WCI124221,R308404,414,,20.06.2022
317,WCI124221,R308404,0,,04.07.2022
318,WCI124221,R308404,414,,08.08.2022
319,WCI124221,R308404,0,,15.08.2022
320,WCI124221,R308404,414,,01.11.2021
321,WCI124221,R308404,414,,15.11.2021
322,WCI124221,R308404,0,,22.11.2021
323,WCI124221,R308404,414,,27.12.2021
324,WCI124221,R308404,414,,31.01.2022
325,WCI124221,R308404,414,,07.03.2022
326,WCI124221,R308404,414,,11.04.2022
327,WCI124221,R308404,414,,16.05.2022
328,WCI124221,R308404,0,,23.05.2022
329,WCI124221,R308404,414,,20.06.2022
330,WCI124221,R308404,0,,04.07.2022
331,WCI124221,R308404,414,,08.08.2022
332,WCI124221,R308404,0,,15.08.2022
333,WCI124221,R308404,414,,30.08.2021
334,WCI124221,R308404,414,,01.11.2021
335,WCI124221,R308404,414,,06.12.2021
336,WCI124221,R308404,0,,13.12.2021
337,WCI124221,R308404,414,,10.01.2022
338,WCI124221,R308404,0,,24.01.2022
339,WCI124221,R308404,414,,14.02.2022
340,WCI124221,R308404,0,,07.03.2022
341,WCI124221,R308404,414,,21.03.2022
342,WCI124221,R308404,0,,04.04.2022
343,WCI124221,R308404,414,,25.04.2022
344,WCI124221,R308404,0,,16.05.2022
345,WCI124221,R308404,414,,30.05.2022
346,WCI124221,R308404,0,,27.06.2022
347,WCI124221,R308404,414,,11.07.2022
348,WCI124221,R308404,414,,30.08.2021
349,WCI124221,R308404,414,,01.11.2021
350,WCI124221,R308404,414,,13.12.2021
351,WCI124221,R308404,0,,17.01.2022
352,WCI124221,R308404,414,,24.01.2022
353,WCI124221,R308404,0,,28.02.2022
354,WCI124221,R308404,414,,07.03.2022
355,WCI124221,R308404,414,,04.04.2022
356,WCI124221,R308404,414,,16.05.2022
357,WCI124221,R308404,414,,27.06.2022
358,WCI124221,R308404,0,,08.08.2022
359,WCI124221,R308404,414,,30.08.2021
360,WCI124221,R308404,414,,01.11.2021
361,WCI124221,R308404,414,,22.11.2021
362,WCI124221,R308404,0,,06.12.2021
363,WCI124221,R308404,414,,27.12.2021
364,WCI124221,R308404,0,,10.01.2022
365,WCI124221,R308404,414,,31.01.2022
366,WCI124221,R308404,0,,14.02.2022
367,WCI124221,R308404,414,,07.03.2022
368,WCI124221,R308404,0,,21.03.2022
369,WCI124221,R308404,414,,11.04.2022
370,WCI124221,R308404,0,,25.04.2022
371,WCI124221,R308404,414,,23.05.2022
372,WCI124221,R308404,0,,30.05.2022
373,WCI124221,R308404,414,,04.07.2022
374,WCI124221,R308404,0,,11.07.2022
375,WCI124221,R308404,414,,15.08.2022
376,WCI124221,R308404,414,,30.08.2021
377,WCI124221,R308404,414,,01.11.2021
378,WCI124221,R308404,414,,06.12.2021
379,WCI124221,R308404,0,,13.12.2021
380,WCI124221,R308404,414,,10.01.2022
381,WCI124221,R308404,0,,24.01.2022
382,WCI124221,R308404,414,,14.02.2022
383,WCI124221,R308404,0,,07.03.2022
384,WCI124221,R308404,414,,21.03.2022
385,WCI124221,R308404,0,,04.04.2022
386,WCI124221,R308404,414,,25.04.2022
387,WCI124221,R308404,0,,16.05.2022
388,WCI124221,R308404,414,,30.05.2022
389,WCI124221,R308404,0,,27.06.2022
390,WCI124221,R308404,414,,11.07.2022
391,WCI124221,R308404,414,,30.08.2021
392,WCI124221,R308404,0,,11.10.2021
393,WCI124221,R308404,414,,01.11.2021
394,WCI124221,R308404,0,,06.12.2021
395,WCI124221,R308404,414,,13.12.2021
396,WCI124221,R308404,0,,10.01.2022
397,WCI124221,R308404,414,,17.01.2022
398,WCI124221,R308404,0,,14.02.2022
399,WCI124221,R308404,414,,28.02.2022
400,WCI124221,R308404,0,,28.03.2022
401,WCI124221,R308404,414,,04.04.2022
402,WCI124221,R308404,0,,02.05.2022
403,WCI124221,R308404,414,,16.05.2022
404,WCI124221,R308404,0,,06.06.2022
405,WCI124221,R308404,414,,27.06.2022
406,WCI124221,R308404,0,,25.07.2022
407,WCI124221,R308404,414,,30.08.2021
408,WCI124221,R308404,414,,01.11.2021
409,WCI124221,R308404,414,,13.12.2021
410,WCI124221,R308404,0,,17.01.2022
411,WCI124221,R308404,414,,24.01.2022
412,WCI124221,R308404,0,,28.02.2022
413,WCI124221,R308404,414,,07.03.2022
414,WCI124221,R308404,414,,04.04.2022
415,WCI124221,R308404,414,,16.05.2022
416,WCI124221,R308404,414,,27.06.2022
417,WCI124221,R308404,0,,08.08.2022
418,WCI124221,R308404,414,,30.08.2021
419,WCI124221,R308404,414,,11.10.2021
420,WCI124221,R308404,0,,01.11.2021
421,WCI124221,R308404,414,,06.12.2021
422,WCI124221,R308404,0,,20.12.2021
423,WCI124221,R308404,414,,10.01.2022
424,WCI124221,R308404,0,,24.01.2022
425,WCI124221,R308404,414,,14.02.2022
426,WCI124221,R308404,0,,07.03.2022
427,WCI124221,R308404,414,,28.03.2022
428,WCI124221,R308404,414,,02.05.2022
429,WCI124221,R308404,0,,09.05.2022
430,WCI124221,R308404,414,,06.06.2022
431,WCI124221,R308404,0,,20.06.2022
432,WCI124221,R308404,414,,25.07.2022
433,WCI124221,R308404,414,,30.08.2021
